Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
The Game,Hip Hop,G,Major,0.557,177.757,2005.0,0.403,0.0,4.0
Gucci Mane,Hip Hop,A#,Minor,0.741,129.946,2019.0,0.181,0.0,4.0
Kehlani,Hip Hop,F,Minor,0.701,79.107,2019.0,0.0709,0.0,4.0
Kevin Gates,Hip Hop,F,Minor,0.443,147.014,2019.0,0.041,1.2e-06,4.0
Gucci Mane,Hip Hop,D,Major,0.2,145.019,2018.0,0.333,0.0,4.0
"Luiz, o Visitante",Hip Hop,B,Minor,0.392,140.031,2019.0,0.294,0.0,4.0
Wu-Tang Clan,Hip Hop,C#,Major,0.581,90.022,2004.0,0.259,0.0072,4.0
Wu-Tang Clan,Hip Hop,A,Minor,0.172,79.457,1993.0,0.95,0.0,1.0
Ciara,Hip Hop,F#,Minor,0.736,128.98,2006.0,0.135,8.39e-05,4.0
Slum Village,Hip Hop,G#,Major,0.603,94.321,2010.0,0.402,0.0,4.0
Slum Village,Hip Hop,D,Major,0.722,94.717,2010.0,0.0638,0.8370000000000001,4.0
Wale,Hip Hop,F#,Major,0.735,129.939,2017.0,0.319,0.0,4.0
Black Eyed Peas,Hip Hop,A,Minor,0.687,107.01,2020.0,0.0797,0.103,4.0
Gucci Mane,Hip Hop,C#,Major,0.355,119.073,2020.0,0.08900000000000001,0.0,4.0
Kehlani,Hip Hop,F#,Major,0.6940000000000001,130.02,2017.0,0.267,5.04e-05,4.0
Calle 13,Hip Hop,B,Minor,0.78,91.983,2005.0,0.275,0.0,4.0
The Game,Hip Hop,C#,Major,0.8079999999999999,180.084,2004.0,0.264,0.000182,4.0
Slum Village,Hip Hop,C#,Major,0.7290000000000001,91.957,2005.0,0.343,2.65e-06,4.0
Chris Brown,Hip Hop,E,Minor,0.0825,68.429,2012.0,0.126,0.0,3.0
Kehlani,Hip Hop,C#,Major,0.612,119.537,2020.0,0.11,0.0,4.0
Slum Village,Hip Hop,B,Minor,0.419,94.18,2005.0,0.298,0.0,4.0
Jamie Foxx,Hip Hop,C#,Minor,0.804,122.027,2005.0,0.0351,0.000624,4.0
Wu-Tang Clan,Hip Hop,G,Major,0.441,91.484,1993.0,0.555,1.77e-06,4.0
Usher,Hip Hop,F,Minor,0.242,124.356,1994.0,0.0628,0.0,4.0
Usher,Hip Hop,G#,Major,0.243,120.049,2001.0,0.0348,0.0,4.0
Mary J. Blige,Hip Hop,E,Minor,0.441,158.861,2020.0,0.104,0.0,4.0
Kris Kross,Hip Hop,B,Minor,0.606,111.021,1992.0,0.301,2.01e-06,4.0
Plies,Hip Hop,C,Major,0.398,129.111,2013.0,0.0681,0.0,4.0
Soulja Boy,Hip Hop,C,Major,0.682,133.006,2020.0,0.173,0.0,4.0
E-40,Hip Hop,A,Major,0.674,144.032,1993.0,0.37,0.000215,4.0
Kevin Gates,Hip Hop,C,Minor,0.601,130.062,2019.0,0.336,0.0,4.0
Tinashe,Hip Hop,D,Major,0.52,156.999,2019.0,0.0627,5.48e-06,4.0
Soulja Boy,Hip Hop,A#,Minor,0.7140000000000001,69.983,2018.0,0.0299,0.0,4.0
Soulja Boy,Hip Hop,F,Major,0.35200000000000004,127.966,2020.0,0.0549,2.94e-06,4.0
Meek Mill,Hip Hop,F#,Minor,0.319,167.329,2018.0,0.205,0.0,4.0
Tyga,Hip Hop,G#,Minor,0.551,135.159,2017.0,0.408,0.0,4.0
Frank Ocean,Hip Hop,C,Minor,0.473,110.134,2017.0,0.237,0.0,4.0
Sticky Fingaz,Hip Hop,B,Minor,0.6890000000000001,172.595,2020.0,0.629,1.15e-05,4.0
Common,Hip Hop,G,Major,0.616,172.433,1994.0,0.485,0.000207,4.0
Common,Hip Hop,G,Major,0.513,93.232,2007.0,0.304,0.0,4.0
Chris Brown,Hip Hop,A,Major,0.385,125.899,2009.0,0.0269,8.04e-05,4.0
Will Smith,Hip Hop,G#,Major,0.483,91.168,1997.0,0.135,0.0,4.0
Meek Mill,Hip Hop,C#,Major,0.6920000000000001,179.953,2015.0,0.281,0.0,4.0
Chris Brown,Hip Hop,E,Minor,0.221,93.851,2019.0,0.0433,0.0,4.0
Ludmilla,Hip Hop,F#,Minor,0.937,130.062,2017.0,0.0854,0.0,4.0
Ludmilla,Hip Hop,B,Minor,0.623,133.02700000000002,2019.0,0.0775,0.0,4.0
Ludmilla,Hip Hop,F#,Minor,0.894,91.941,2020.0,0.031,1.2e-05,4.0
Gucci Mane,Hip Hop,D,Major,0.355,154.039,2020.0,0.161,0.0,4.0
Gucci Mane,Hip Hop,F#,Minor,0.516,113.798,2015.0,0.616,0.0,3.0
E-40,Hip Hop,G#,Minor,0.0,0.0,1995.0,0.0,0.0,0.0
Xzibit,Hip Hop,B,Minor,0.71,101.969,2002.0,0.112,7.09e-05,4.0
Mac Miller,Hip Hop,A,Major,0.37,151.964,2020.0,0.0486,0.00461,4.0
Wu-Tang Clan,Hip Hop,F#,Major,0.594,96.051,1993.0,0.303,0.00018,4.0
Iggy Azalea,Hip Hop,G#,Major,0.479,120.006,2019.0,0.204,0.0,4.0
Mac Miller,Hip Hop,C#,Major,0.162,82.001,2012.0,0.0552,0.00154,4.0
Slum Village,Hip Hop,G#,Minor,0.7559999999999999,95.676,2010.0,0.247,1.49e-06,4.0
Slum Village,Hip Hop,G#,Minor,0.431,95.612,2010.0,0.0708,0.0849,4.0
21 Savage,Hip Hop,A#,Minor,0.198,139.996,2017.0,0.43,0.4320000000000001,4.0
Gucci Mane,Hip Hop,C#,Major,0.329,121.971,2013.0,0.434,0.0,4.0
Gucci Mane,Hip Hop,F,Minor,0.382,127.093,2013.0,0.077,0.0,4.0
Meek Mill,Hip Hop,F#,Major,0.3670000000000001,77.27,2018.0,0.451,0.0,4.0
M.I.A.,Hip Hop,C,Major,0.5710000000000001,92.001,2001.0,0.269,0.0,4.0
Xzibit,Hip Hop,B,Minor,0.371,91.903,2004.0,0.333,0.0,4.0
T.I.,Hip Hop,C#,Major,0.35200000000000004,88.07700000000001,2013.0,0.135,0.0,4.0
Wyclef Jean,Hip Hop,C,Minor,0.83,102.057,2000.0,0.7509999999999999,0.0,4.0
Mac Miller,Hip Hop,D,Minor,0.119,83.507,2018.0,0.0349,0.00925,4.0
Mystikal,Hip Hop,G,Major,0.649,99.034,2000.0,0.318,0.0,4.0
Lecrae,Hip Hop,F,Minor,0.379,124.167,2020.0,0.229,0.0,4.0
Tyga,Hip Hop,A#,Minor,0.306,78.82,2018.0,0.282,0.0,4.0
Tinashe,Hip Hop,C,Minor,0.0,129.879,2020.0,0.479,0.0,1.0
Iggy Azalea,Hip Hop,A,Major,0.295,72.533,2019.0,0.363,0.0,5.0
Common,Hip Hop,G#,Major,0.435,96.975,1994.0,0.364,0.0,4.0
Mac Miller,Hip Hop,C,Major,0.601,75.014,2020.0,0.052000000000000005,0.00217,4.0
The Game,Hip Hop,F#,Minor,0.6779999999999999,97.289,2004.0,0.447,0.0,4.0
The Game,Hip Hop,F#,Major,0.947,95.621,2004.0,0.375,0.0,4.0
Slum Village,Hip Hop,D,Major,0.72,92.821,2010.0,0.35700000000000004,0.0,4.0
Slum Village,Hip Hop,D,Major,0.7929999999999999,188.165,2010.0,0.456,0.913,4.0
Xzibit,Hip Hop,D,Major,0.0985,106.976,2006.0,0.188,2.56e-05,4.0
Chris Brown,Hip Hop,B,Minor,0.454,120.008,2017.0,0.0689,3.51e-06,4.0
Black Moon,Hip Hop,D,Major,0.36,162.001,2003.0,0.273,0.0,4.0
Mac Miller,Hip Hop,F#,Minor,0.264,144.998,2018.0,0.113,5.22e-05,4.0
Obie Trice,Hip Hop,C#,Major,0.594,89.685,2009.0,0.238,0.0,4.0
Soulja Boy,Hip Hop,F,Minor,0.385,132.899,2018.0,0.312,2.0600000000000006e-05,4.0
Soulja Boy,Hip Hop,C#,Minor,0.575,150.965,2007.0,0.334,0.0,4.0
Ashanti,Hip Hop,A,Major,0.569,146.916,2014.0,0.254,0.0,4.0
Plies,Hip Hop,G#,Minor,0.489,172.013,2013.0,0.0814,0.0,4.0
Chris Brown,Hip Hop,C#,Major,0.206,117.182,2017.0,0.0541,0.0,4.0
Soulja Boy,Hip Hop,F,Minor,0.474,145.013,2007.0,0.305,0.0,4.0
Soulja Boy,Hip Hop,B,Major,0.633,145.131,2007.0,0.338,0.0,4.0
Chris Brown,Hip Hop,F,Minor,0.417,176.048,2009.0,0.0591,0.0,4.0
Usher,Hip Hop,A#,Minor,0.539,138.641,1994.0,0.0408,4.72e-06,4.0
